index,Brand,Country,Whiskies,Votes,Rating,Brand_Ranking
2924,No. 7,Germany,1,1,88.75,C
2925,Noah's Mill,United States,19,10,77.77,E
2929,Nomad,Scotland,3,2,78.22,E
2931,Nordisk Brænderi,Denmark,1,1,82.00,D
2932,North British,Scotland,237,183,84.72,D
2933,North Highland,Scotland,7,7,85.66,C
2935,North Irish,Ireland,1,1,88.67,C
2936,North Islay,Scotland,1,1,85.00,C
2937,North of 7 Whisky,Canada,3,1,85.00,C
2938,North of Ireland,Ireland,2,2,89.88,C
2939,North of Scotland,Scotland,52,44,87.33,C
2940,North Port,Scotland,106,75,85.86,C
2944,Northern Highland,Scotland,2,2,82.00,D
2945,Not Islay,Scotland,1,1,83.33,D
2947,Nyborg,Denmark,6,2,81.00,D
2948,Ö Whisky,Sweden,4,4,75.52,E
2949,O'Connor,Ireland,2,1,74.00,F
2950,O'Hara,Ireland,1,1,74.00,F
2951,O'Kanagan,Ireland,1,1,73.00,F
2952,O'Reilly's,Ireland,1,1,77.00,E
2953,O. F. C.,United States,3,1,79.00,E
2955,Oak Cross,Scotland,4,3,82.87,D
2957,Oban,Scotland,128,97,84.79,D
2959,Ocean Whisky,Japan,7,1,30.00,G
2960,Ochterglen,Scotland,1,1,82.00,D
2961,Octomore,Scotland,88,82,87.88,C
2963,Odinforest,Germany,1,1,52.00,G
2964,Officer's Choice,India,1,1,60.00,G
2965,Ohishi Whisky,Japan,3,3,78.89,E
2967,Oishii Wisukii,Scotland,3,3,89.86,C
2968,Okanagan Spirits,Canada,4,1,83.00,D
2969,Okayama,Japan,2,1,78.50,E
2970,Ol' Dirty Charlotte,Scotland,1,1,86.00,C
2973,Old American,United States,3,2,83.50,D
2975,Old Angus,Scotland,3,1,85.00,C
2976,Old Argyll,Scotland,7,1,84.25,D
2977,Old Armour,Scotland,3,1,80.00,D
2981,Old Ballantruan,Scotland,15,14,80.56,D
2982,Old Bannockburn,Scotland,2,1,89.00,C
2983,Old Bardstown,United States,13,6,78.20,E
